CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2
05/17/2013,15:31,Bronx,10452,40.8409303,-73.912698,2.0,1.0,2,1,0,0,0,0,Following Too Closely,Unspecified,86954,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE
04/23/2013,11:51,Queens,11368,40.758973,-73.845074,2.0,1.0,2,1,0,0,0,0,Fatigued/Drowsy,Unspecified,257041,PASSENGER VEHICLE,PASSENGER VEHICLE
04/17/2013,15:51,Brooklyn,11236,40.641947,-73.9166193,1.0,1.0,0,1,0,0,1,0,Unspecified,,145973,SPORT UTILITY / STATION WAGON,
04/03/2013,19:35,Queens,11373,40.7449415,-73.8873378,1.0,1.0,0,1,0,0,1,0,Unspecified,,256924,BUS,
03/23/2013,17:19,Brooklyn,11235,40.5862603,-73.9489224,2.0,1.0,2,1,0,0,0,0,Physical Disability,,118561,PASSENGER VEHICLE,
02/23/2013,14:40,Brooklyn,11236,40.6385777,-73.9041314,2.0,1.0,0,0,0,0,2,1,Unspecified,Unspecified,145753,PASSENGER VEHICLE,PASSENGER VEHICLE
03/03/2013,0:08,Brooklyn,11213,40.6780095,-73.9413784,1.0,1.0,0,0,0,0,1,1,Unspecified,,180631,PASSENGER VEHICLE,
03/03/2013,0:05,Brooklyn,11249,40.7031587,-73.9658741,1.0,3.0,0,0,0,0,1,3,Traffic Control Disregarded,Unspecified,195451,PASSENGER VEHICLE,PASSENGER VEHICLE
02/21/2013,0:45,Queens,11101,40.7568762,-73.9443519,2.0,1.0,0,1,0,0,2,0,Unspecified,,275075,PASSENGER VEHICLE,
03/11/2013,10:57,Queens,11101,40.7451772,-73.9372593,4.0,1.0,4,1,0,0,0,0,Unspecified,,241411,SPORT UTILITY / STATION WAGON,
02/24/2013,1:48,Manhattan,10016,40.7413501,-73.9813106,1.0,1.0,0,1,0,0,1,0,Unspecified,Unspecified,23287,PASSENGER VEHICLE,TAXI
01/26/2013,15:20,Brooklyn,11204,40.6162611,-73.9930807,1.0,1.0,1,1,0,0,0,0,Unspecified,,122858,SPORT UTILITY / STATION WAGON,
02/06/2013,14:15,Manhattan,10031,40.8200975,-73.9550764,6.0,1.0,3,0,0,0,3,1,Failure to Yield Right-of-Way,Unspecified,65444,VAN,PASSENGER VEHICLE
02/01/2013,19:32,Staten Island,10306,40.5783776,-74.0940362,1.0,1.0,1,1,0,0,0,0,Failure to Yield Right-of-Way,,296394,SPORT UTILITY / STATION WAGON,
01/20/2013,2:00,Manhattan,10010,40.7407326,-73.9817618,1.0,1.0,0,1,0,0,1,0,Driver Inattention/Distraction,Unspecified,23074,SPORT UTILITY / STATION WAGON,TAXI
12/24/2012,18:39,Queens,11427,40.7312494,-73.7516764,1.0,1.0,0,0,0,0,1,1,Following Too Closely,,260716,PICK-UP TRUCK,
01/05/2013,13:02,Bronx,10460,40.8438293,-73.8879185,1.0,1.0,0,1,0,0,1,0,Unspecified,,100720,PASSENGER VEHICLE,
